Année,Mois,Cas déclarés,Hospitalisations,Décès,Pays
2022,6,2957,253,48,Allemagne
2022,6,2342,606,13,Belgique
2022,7,3412,982,142,France
2022,7,669,193,251,Espagne
2022,7,4122,850,268,Italie
2022,7,3999,786,160,Allemagne
2022,7,3970,686,114,Belgique
2022,8,5358,954,195,France
2022,8,4743,348,121,Espagne
2022,8,876,741,32,Italie
2022,8,6996,596,210,Allemagne
2022,8,5457,386,245,Belgique
2022,9,1012,873,295,France
2022,9,2886,988,108,Espagne
2022,9,569,789,279,Italie
2022,9,483,917,250,Allemagne
2022,9,1264,827,10,Belgique
2022,10,5497,425,66,France
2022,10,6633,542,237,Espagne
2022,10,2839,781,155,Italie
2022,10,6547,869,7,Allemagne
2022,10,6052,95,205,Belgique
2022,11,5730,880,61,France
2022,11,4508,237,268,Espagne
2022,11,1125,751,176,Italie
2022,11,6509,735,110,Allemagne
2022,11,2238,862,270,Belgique
2022,12,5355,423,85,France
2022,12,6439,63,254,Espagne
2022,12,4915,983,47,Italie
2022,12,1827,99,213,Allemagne
2022,12,986,845,154,Belgique
2023,1,2514,132,201,France
2023,1,2081,967,249,Espagne
2023,1,1103,308,219,Italie
2023,1,1265,341,162,Allemagne
2023,1,5052,910,205,Belgique
2023,2,6774,830,140,France
2023,2,3789,82,220,Espagne
2023,2,5306,857,37,Italie
2023,2,5309,169,240,Allemagne
2023,2,3176,949,29,Belgique
2023,3,2326,392,89,France
2023,3,2541,623,109,Espagne
2023,3,1109,996,219,Italie
2023,3,607,882,190,Allemagne
2023,3,5254,509,153,Belgique
2023,4,5271,376,141,France
2023,4,6636,570,24,Espagne
2023,4,1580,458,265,Italie
2023,4,2616,812,266,Allemagne
2023,4,6412,992,194,Belgique
2023,5,3191,426,84,France
2023,5,6304,475,261,Espagne
2023,5,4908,856,16,Italie
2023,5,4474,999,135,Allemagne
2023,5,4174,689,228,Belgique
2023,6,6965,368,193,France
2023,6,5898,592,230,Espagne
2023,6,4077,404,274,Italie
2023,6,3603,461,195,Allemagne
2023,6,6597,511,110,Belgique
2023,7,1082,790,288,France
2023,7,5510,981,162,Espagne
2023,7,4457,114,270,Italie
2023,7,1199,993,46,Allemagne
2023,7,1431,782,200,Belgique
2023,8,4593,645,29,France
2023,8,4211,811,137,Espagne
2023,8,6842,997,257,Italie
2023,8,6833,205,64,Allemagne
2023,8,1147,273,51,Belgique
2023,9,4367,68,286,France
2023,9,2776,718,268,Espagne
2023,9,4036,749,27,Italie
2023,9,554,144,179,Allemagne
2023,9,412,406,19,Belgique
2023,10,6566,137,70,France
2023,10,199,138,292,Espagne
2023,10,3758,358,228,Italie
2023,10,3554,832,55,Allemagne
2023,10,3643,970,257,Belgique
2023,11,2521,179,10,France
2023,11,3153,648,124,Espagne
2023,11,5767,510,285,Italie
2023,11,363,772,72,Allemagne
2023,11,6825,539,63,Belgique
2023,12,3588,535,237,France
2023,12,3237,331,279,Espagne
2023,12,2531,237,194,Italie
2023,12,6445,530,274,Allemagne
2023,12,2767,948,296,Belgique
2024,1,296,943,57,France
2024,1,375,865,149,Espagne
2024,1,2158,764,258,Italie
2024,1,2698,23,122,Allemagne
2024,1,219,192,168,Belgique
2024,2,388,828,240,France
2024,2,3169,954,231,Espagne
2024,2,2024,219,122,Italie
2024,2,951,341,173,Allemagne
2024,2,498,228,67,Belgique
2024,3,1677,419,237,France
2024,3,6729,933,216,Espagne
2024,3,3649,749,285,Italie
2024,3,2120,275,35,Allemagne
2024,3,1992,476,269,Belgique
2024,4,6355,10,237,France
2024,4,2923,909,167,Espagne
2024,4,6090,872,199,Italie
2024,4,3054,691,88,Allemagne
2024,4,3906,314,267,Belgique
2024,5,2817,326,188,France
2024,5,6211,167,256,Espagne
2024,5,1655,320,207,Italie
2024,5,4047,396,24,Allemagne
2024,5,2409,58,68,Belgique
2024,6,5116,888,220,France
2024,6,6246,980,50,Espagne
2024,6,5611,675,12,Italie
2024,6,6250,182,293,Allemagne
2024,6,502,532,42,Belgique
2024,7,6477,348,195,France
2024,7,6940,655,197,Espagne
2024,7,4737,528,111,Italie
2024,7,1097,14,44,Allemagne
2024,7,3137,321,105,Belgique
2024,8,2076,151,47,France
2024,8,2676,687,92,Espagne
2024,8,5426,360,139,Italie
2024,8,6728,691,52,Allemagne
2024,8,3121,195,225,Belgique
2024,9,6358,901,46,France
2024,9,2219,53,220,Espagne
2024,9,6795,384,121,Italie
2024,9,6758,122,293,Allemagne
2024,9,3967,675,202,Belgique
2024,10,6273,332,249,France
2024,10,1114,518,120,Espagne
2024,10,4962,675,63,Italie
2024,10,3992,114,44,Allemagne
2024,10,1234,196,166,Belgique
2024,11,948,751,126,France
2024,11,1608,531,36,Espagne
2024,11,1088,554,223,Italie
2024,11,3982,707,115,Allemagne
2024,11,6115,739,12,Belgique
2024,12,6838,118,230,France
2024,12,3614,959,297,Espagne
2024,12,2209,170,108,Italie
2024,12,4500,783,128,Allemagne
2024,12,2072,770,27,Belgique
2025,1,2173,799,249,France
2025,1,2804,978,204,Espagne
2025,1,782,744,152,Italie
2025,1,2176,77,51,Allemagne
2025,1,865,136,212,Belgique
2025,2,5312,141,231,France
2025,2,1752,696,147,Espagne
2025,2,2232,90,43,Italie
2025,2,2119,382,254,Allemagne
2025,2,6744,704,21,Belgique
2025,3,895,772,215,France
2025,3,3350,91,153,Espagne
2025,3,1852,625,133,Italie
2025,3,2964,538,108,Allemagne
2025,3,4619,965,288,Belgique
2025,4,4604,272,88,France
2025,4,6330,231,46,Espagne
2025,4,4964,419,41,Italie
2025,4,5427,776,205,Allemagne
2025,4,1808,489,188,Belgique
2025,5,440,208,21,France
2025,5,1888,449,118,Espagne
2025,5,6135,745,46,Italie
2025,5,5863,154,299,Allemagne
2025,5,3086,377,79,Belgique
2025,6,3580,284,291,France
2025,6,1911,942,147,Espagne
2025,6,1465,603,132,Italie
2025,6,5818,757,289,Allemagne
2025,6,2364,229,95,Belgique
2025,7,6270,848,118,France
2025,7,1305,582,12,Espagne
2025,7,5386,224,170,Italie
2025,7,5726,469,73,Allemagne
2025,7,709,71,46,Belgique
2025,8,2453,520,196,France
2025,8,498,593,37,Espagne
2025,8,5956,633,42,Italie
2025,8,6060,102,47,Allemagne
2025,8,1729,812,90,Belgique
2025,9,5442,37,274,France
2025,9,2526,753,46,Espagne
2025,9,4596,579,38,Italie
2025,9,6757,714,251,Allemagne
2025,9,6189,660,242,Belgique
2025,10,3109,951,175,France
2025,10,4099,946,115,Espagne
2025,10,2505,839,298,Italie
2025,10,4633,678,64,Allemagne
2025,10,6808,107,289,Belgique
2025,11,6984,987,101,France
2025,11,365,721,230,Espagne
2025,11,3201,447,35,Italie
2025,11,3354,285,156,Allemagne
2025,11,5882,652,272,Belgique
2025,12,3218,595,188,France
2025,12,5290,438,97,Espagne
2025,12,1169,318,164,Italie
2025,12,1078,804,279,Allemagne
2025,12,3437,79,149,Belgique
