Année,Mois,Cas déclarés,Hospitalisations,Décès,Pays
2021,6,773,408,39,Belgique
2021,7,1060,75,64,France
2021,7,2895,485,97,Espagne
2021,7,992,129,82,Italie
2021,7,2080,221,59,Allemagne
2021,7,2042,298,3,Belgique
2021,8,1106,8,78,France
2021,8,1024,216,12,Espagne
2021,8,533,263,77,Italie
2021,8,1051,21,94,Allemagne
2021,8,2989,267,29,Belgique
2021,9,2493,466,52,France
2021,9,1794,481,88,Espagne
2021,9,630,24,37,Italie
2021,9,222,145,0,Allemagne
2021,9,2912,107,73,Belgique
2021,10,615,371,10,France
2021,10,1460,87,4,Espagne
2021,10,2630,104,24,Italie
2021,10,379,226,18,Allemagne
2021,10,550,298,8,Belgique
2021,11,1458,46,9,France
2021,11,2319,172,74,Espagne
2021,11,1243,348,17,Italie
2021,11,1166,312,15,Allemagne
2021,11,1854,429,11,Belgique
2021,12,638,149,77,France
2021,12,1434,308,38,Espagne
2021,12,735,83,27,Italie
2021,12,2332,120,40,Allemagne
2021,12,1492,54,18,Belgique
2022,1,1368,271,72,France
2022,1,250,179,20,Espagne
2022,1,652,433,89,Italie
2022,1,712,475,44,Allemagne
2022,1,85,360,59,Belgique
2022,2,402,482,30,France
2022,2,1204,180,66,Espagne
2022,2,1219,318,40,Italie
2022,2,1212,168,92,Allemagne
2022,2,1926,376,45,Belgique
2022,3,396,183,77,France
2022,3,2534,255,68,Espagne
2022,3,2856,310,5,Italie
2022,3,2135,44,37,Allemagne
2022,3,2715,380,91,Belgique
2022,4,1517,192,89,France
2022,4,2098,283,94,Espagne
2022,4,1065,323,97,Italie
2022,4,2291,110,94,Allemagne
2022,4,2817,475,7,Belgique
2022,5,487,155,79,France
2022,5,1256,495,41,Espagne
2022,5,2623,252,99,Italie
2022,5,2239,16,90,Allemagne
2022,5,697,154,14,Belgique
2022,6,685,380,7,France
2022,6,802,161,58,Espagne
2022,6,468,449,84,Italie
2022,6,925,12,32,Allemagne
2022,6,741,285,74,Belgique
2022,7,2114,357,48,France
2022,7,1766,29,12,Espagne
2022,7,2253,80,96,Italie
2022,7,2367,409,82,Allemagne
2022,7,2709,334,61,Belgique
2022,8,492,138,87,France
2022,8,2354,260,89,Espagne
2022,8,1824,396,94,Italie
2022,8,2262,264,14,Allemagne
2022,8,2109,38,66,Belgique
2022,9,1198,222,59,France
2022,9,460,284,42,Espagne
2022,9,528,360,68,Italie
2022,9,2213,301,7,Allemagne
2022,9,2858,226,25,Belgique
2022,10,1992,298,5,France
2022,10,1815,220,4,Espagne
2022,10,790,351,17,Italie
2022,10,1911,285,17,Allemagne
2022,10,2193,322,36,Belgique
2022,11,1081,26,21,France
2022,11,1258,72,58,Espagne
2022,11,1977,38,89,Italie
2022,11,1402,36,14,Allemagne
2022,11,533,303,48,Belgique
2022,12,1950,381,8,France
2022,12,2271,202,78,Espagne
2022,12,1239,370,0,Italie
2022,12,2777,413,73,Allemagne
2022,12,2223,421,47,Belgique
2023,1,2084,57,6,France
2023,1,1095,236,71,Espagne
2023,1,193,296,60,Italie
2023,1,994,466,40,Allemagne
2023,1,642,447,17,Belgique
2023,2,392,417,71,France
2023,2,2557,318,39,Espagne
2023,2,504,235,33,Italie
2023,2,1789,431,71,Allemagne
2023,2,1747,386,26,Belgique
2023,3,214,441,50,France
2023,3,434,64,78,Espagne
2023,3,2857,11,57,Italie
2023,3,1486,38,1,Allemagne
2023,3,2762,103,82,Belgique
2023,4,356,119,86,France
2023,4,2568,367,35,Espagne
2023,4,1162,12,30,Italie
2023,4,1456,431,52,Allemagne
2023,4,1048,47,41,Belgique
2023,5,2592,263,63,France
2023,5,2342,317,81,Espagne
2023,5,1740,256,30,Italie
2023,5,685,139,31,Allemagne
2023,5,2309,133,100,Belgique
2023,6,2841,296,68,France
2023,6,319,290,79,Espagne
2023,6,266,122,10,Italie
2023,6,1498,118,29,Allemagne
2023,6,2618,302,57,Belgique
2023,7,90,381,20,France
2023,7,954,179,2,Espagne
2023,7,2355,474,26,Italie
2023,7,2945,415,49,Allemagne
2023,7,1809,53,51,Belgique
2023,8,2681,276,44,France
2023,8,425,191,82,Espagne
2023,8,2781,235,17,Italie
2023,8,2294,90,35,Allemagne
2023,8,1746,39,67,Belgique
2023,9,680,408,69,France
2023,9,2419,478,15,Espagne
2023,9,1354,232,50,Italie
2023,9,2534,235,55,Allemagne
2023,9,1360,459,4,Belgique
2023,10,2865,415,43,France
2023,10,572,466,76,Espagne
2023,10,567,391,34,Italie
2023,10,1466,21,58,Allemagne
2023,10,145,302,95,Belgique
2023,11,563,178,53,France
2023,11,2881,258,42,Espagne
2023,11,408,99,91,Italie
2023,11,1556,343,9,Allemagne
2023,11,2010,483,81,Belgique
2023,12,997,173,78,France
2023,12,1622,273,97,Espagne
2023,12,2258,355,86,Italie
2023,12,1656,495,88,Allemagne
2023,12,1392,339,10,Belgique
2024,1,1254,241,58,France
2024,1,782,206,89,Espagne
2024,1,1025,435,94,Italie
2024,1,1774,94,56,Allemagne
2024,1,707,232,71,Belgique
2024,2,434,155,83,France
2024,2,1706,193,69,Espagne
2024,2,93,165,3,Italie
2024,2,1410,420,75,Allemagne
2024,2,783,250,78,Belgique
2024,3,2634,409,60,France
2024,3,352,479,53,Espagne
2024,3,949,484,64,Italie
2024,3,1812,94,64,Allemagne
2024,3,1871,400,28,Belgique
2024,4,282,168,21,France
2024,4,2484,57,83,Espagne
2024,4,1788,219,47,Italie
2024,4,2533,82,8,Allemagne
2024,4,2313,337,92,Belgique
2024,5,1628,149,52,France
2024,5,354,252,95,Espagne
2024,5,1105,192,97,Italie
2024,5,1635,304,32,Allemagne
2024,5,836,302,62,Belgique
2024,6,2866,481,91,France
2024,6,113,413,24,Espagne
2024,6,1300,187,79,Italie
2024,6,2355,72,31,Allemagne
2024,6,810,417,20,Belgique
2024,7,2431,315,79,France
2024,7,2593,173,71,Espagne
2024,7,371,388,88,Italie
2024,7,2632,407,24,Allemagne
2024,7,594,172,71,Belgique
2024,8,1017,171,24,France
2024,8,2559,226,68,Espagne
2024,8,1314,207,64,Italie
2024,8,769,246,12,Allemagne
2024,8,2096,476,54,Belgique
2024,9,2894,490,96,France
2024,9,1980,74,5,Espagne
2024,9,2245,103,5,Italie
2024,9,2657,400,79,Allemagne
2024,9,1644,224,98,Belgique
2024,10,999,93,47,France
2024,10,1892,227,57,Espagne
2024,10,156,402,84,Italie
2024,10,470,206,67,Allemagne
2024,10,1171,164,52,Belgique
2024,11,511,199,14,France
2024,11,2514,88,22,Espagne
2024,11,66,291,67,Italie
2024,11,267,108,33,Allemagne
2024,11,1358,73,93,Belgique
2024,12,1160,479,31,France
2024,12,2272,281,28,Espagne
2024,12,2694,195,43,Italie
2024,12,332,112,63,Allemagne
2024,12,2712,292,7,Belgique
2025,1,2642,264,37,France
2025,1,1735,244,91,Espagne
2025,1,258,463,57,Italie
2025,1,571,160,47,Allemagne
2025,1,2069,359,41,Belgique
2025,2,1476,95,99,France
2025,2,1799,109,76,Espagne
2025,2,1792,92,50,Italie
2025,2,1848,336,55,Allemagne
2025,2,451,45,97,Belgique
2025,3,1207,435,87,France
2025,3,2774,322,15,Espagne
2025,3,375,214,100,Italie
2025,3,814,364,77,Allemagne
2025,3,2325,275,42,Belgique
2025,4,1676,347,29,France
2025,4,104,219,29,Espagne
2025,4,329,55,93,Italie
2025,4,1096,293,69,Allemagne
2025,4,2466,352,80,Belgique
2025,5,470,141,95,France
2025,5,2193,121,55,Espagne
2025,5,2793,47,51,Italie
2025,5,181,300,40,Allemagne
2025,5,1144,263,47,Belgique
2025,6,848,360,16,France
2025,6,1886,158,48,Espagne
2025,6,1242,338,99,Italie
2025,6,1308,32,74,Allemagne
2025,6,1097,411,94,Belgique
2025,7,2369,419,4,France
2025,7,2929,242,24,Espagne
2025,7,2611,345,63,Italie
2025,7,778,60,73,Allemagne
2025,7,540,330,96,Belgique
2025,8,1029,45,6,France
2025,8,1959,238,15,Espagne
2025,8,946,449,58,Italie
2025,8,981,489,63,Allemagne
2025,8,2418,269,37,Belgique
2025,9,2261,448,68,France
2025,9,976,344,56,Espagne
2025,9,1512,358,84,Italie
2025,9,1511,380,24,Allemagne
2025,9,2745,177,86,Belgique
2025,10,852,103,23,France
2025,10,2399,53,87,Espagne
2025,10,566,241,75,Italie
2025,10,174,232,94,Allemagne
2025,10,1044,218,88,Belgique
2025,11,1878,159,35,France
2025,11,2476,111,35,Espagne
2025,11,1111,29,90,Italie
2025,11,2081,467,40,Allemagne
2025,11,404,431,18,Belgique
2025,12,1056,277,19,France
2025,12,2902,67,20,Espagne
2025,12,2533,265,2,Italie
2025,12,1210,337,87,Allemagne
2025,12,664,454,94,Belgique
